epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,38949.2,0.86893,0.68642,1.04678,0.95529,0.9263,0.97157,0.70352,0.91305,0.64869,1.05387,0.000386781,0.000386781,0.000386781
79,39428.8,0.89415,0.68085,1.04081,0.96454,0.89592,0.96491,0.7146,0.87655,0.62887,1.02985,0.000383688,0.000383688,0.000383688
80,39894.6,0.88001,0.67367,1.03961,0.95995,0.9161,0.97563,0.70979,0.93592,0.66934,1.094,0.000380594,0.000380594,0.000380594
81,40382.6,0.86309,0.66554,1.03651,0.92587,0.93925,0.96757,0.7087,0.89475,0.63297,1.04916,0.0003775,0.0003775,0.0003775
82,40866.3,0.85401,0.65573,1.02488,0.9604,0.92153,0.9688,0.70257,0.89454,0.62742,1.04132,0.000374406,0.000374406,0.000374406
83,41363,0.87967,0.67317,1.03745,0.93445,0.93491,0.96592,0.70484,0.90486,0.62763,1.04476,0.000371313,0.000371313,0.000371313
84,41854.2,0.86497,0.66814,1.03405,0.93432,0.94789,0.97707,0.70254,0.8863,0.62534,1.03827,0.000368219,0.000368219,0.000368219
85,42332.5,0.86727,0.70166,1.03264,0.92786,0.96427,0.9802,0.72187,0.88298,0.61782,1.02283,0.000365125,0.000365125,0.000365125
86,42819.4,0.87324,0.66416,1.03453,0.93479,0.95617,0.97775,0.71487,0.88457,0.61788,1.03075,0.000362031,0.000362031,0.000362031
87,43313.9,0.86807,0.6696,1.03873,0.9275,0.95826,0.97593,0.70532,0.89782,0.63145,1.04403,0.000358938,0.000358938,0.000358938
88,43807.9,0.85632,0.65661,1.03325,0.91243,0.94904,0.96977,0.70201,0.88743,0.61098,1.03447,0.000355844,0.000355844,0.000355844
89,44304.5,0.86501,0.66055,1.03182,0.94439,0.93787,0.96653,0.7129,0.86853,0.60794,1.02423,0.00035275,0.00035275,0.00035275
90,44801.3,0.85238,0.65632,1.02674,0.95739,0.9371,0.97334,0.71121,0.87023,0.60383,1.01097,0.000349656,0.000349656,0.000349656
91,45325.5,0.86054,0.66506,1.03581,0.97418,0.92867,0.97421,0.70434,0.8885,0.61359,1.04177,0.000346563,0.000346563,0.000346563
92,45815.7,0.84605,0.63837,1.01834,0.9551,0.9599,0.97859,0.71327,0.88683,0.60504,1.04066,0.000343469,0.000343469,0.000343469
93,46294.3,0.86429,0.6578,1.03188,0.94705,0.95855,0.96993,0.71437,0.87808,0.60044,1.0307,0.000340375,0.000340375,0.000340375
94,46776.1,0.83585,0.63128,1.02591,0.93551,0.95656,0.96843,0.7161,0.86727,0.60171,1.02175,0.000337281,0.000337281,0.000337281
95,47263.5,0.84516,0.63547,1.03129,0.9456,0.96878,0.9788,0.72365,0.86688,0.60083,1.02552,0.000334188,0.000334188,0.000334188
96,47750,0.84784,0.62794,1.01437,0.94834,0.95835,0.9787,0.7085,0.89296,0.59963,1.02773,0.000331094,0.000331094,0.000331094
97,48252.3,0.83811,0.63017,1.01121,0.96125,0.96413,0.98008,0.72797,0.86879,0.58276,1.01409,0.000328,0.000328,0.000328
98,48752.3,0.85935,0.63687,1.02393,0.94744,0.962,0.97691,0.72011,0.87746,0.58583,1.02742,0.000324906,0.000324906,0.000324906
99,49241.9,0.84847,0.64143,1.02441,0.93971,0.96066,0.97794,0.71737,0.88777,0.59174,1.03833,0.000321812,0.000321812,0.000321812
100,49743.6,0.85047,0.62885,1.02336,0.95993,0.93801,0.97623,0.71234,0.86292,0.58354,1.0182,0.000318719,0.000318719,0.000318719
101,50268.4,0.82835,0.6256,1.01812,0.93584,0.96488,0.97662,0.72695,0.85651,0.58332,1.01143,0.000315625,0.000315625,0.000315625
102,50750.6,0.84024,0.62898,1.01709,0.95358,0.9657,0.97857,0.72484,0.86769,0.58894,1.02838,0.000312531,0.000312531,0.000312531
103,51228.4,0.83396,0.62597,1.01275,0.95087,0.97388,0.98093,0.72394,0.86725,0.58195,1.02041,0.000309437,0.000309437,0.000309437
